LSOA11CD,LSOA21CD,overlap_pct
E01025940,E01025940,100.0
E01020918,E01020918,100.0
E01024206,E01024206,100.0
E01019902,E01019902,100.0
W01000754,W01000754,100.0
E01012928,E01012928,100.0
E01024101,E01024101,100.0
E01021067,E01021067,100.0
E01007296,E01007296,100.0
E01022116,E01022116,100.0
E01021353,E01021353,100.0
E01027518,E01027518,100.0
E01021580,E01021580,100.0
E01000889,E01000889,100.0
E01017762,E01017762,100.0
E01011041,E01011041,100.0
E01030468,E01030468,100.0
E01024516,E01024516,100.0
E01017131,E01017131,100.0
E01003436,E01003436,100.0
E01025592,E01025592,100.0
E01014912,E01014912,100.0
E01027401,E01027401,100.0
E01033242,E01033242,100.0
W01000814,W01000814,100.0
E01009520,E01009520,100.0
E01007500,E01007500,100.0
E01013609,E01013609,100.0
E01005275,E01005275,100.0
E01004524,E01004524,100.0
W01000879,W01000879,100.0
E01030899,E01030899,100.0
W01001432,W01001432,100.0
E01013072,E01013072,100.0
E01018174,E01018174,100.0
E01017015,E01017015,100.0
E01008854,E01008854,100.0
E01032222,E01032222,100.0
W01000758,W01000758,100.0
E01012328,E01012328,100.0
E01031151,E01031151,100.0
E01017707,E01017707,100.0
E01015859,E01015859,100.0
E01023496,E01023496,100.0
E01027103,E01027103,100.0
E01006545,E01006545,100.0
E01014166,E01014166,100.0
E01019051,E01019051,100.0
W01001889,W01001889,100.0
E01016832,E01016832,100.0
W01001390,W01001390,100.0
W01000245,W01000245,100.0
W01001899,W01001899,100.0
E01016928,E01016928,100.0
E01005701,E01005701,100.0
E01024248,E01024248,100.0
E01000840,E01000840,100.0
E01029094,E01029094,100.0
W01001419,W01001419,100.0
E01000052,E01000052,100.0
E01010602,E01010602,100.0
E01010722,E01010722,100.0
E01012694,E01012694,100.0
E01032828,E01032828,100.0
E01026022,E01026022,100.0
E01010125,E01010125,100.0
E01022829,E01022829,100.0
E01007190,E01007190,100.0
E01005316,E01005316,100.0
E01031324,E01031324,100.0
E01002977,E01002977,100.0
E01029584,E01029584,100.0
E01017076,E01017076,100.0
E01020187,E01020187,100.0
E01033688,E01033688,100.0
E01020889,E01020889,100.0
E01002374,E01002374,100.0
E01010570,E01010570,100.0
E01027456,E01027456,100.0
E01031153,E01031153,100.0
E01011412,E01011412,100.0
E01008601,E01008601,100.0
E01033026,E01033026,100.0
E01019597,E01019597,100.0
E01006200,E01006200,100.0
E01000296,E01000296,100.0
E01002643,E01002643,100.0
E01017530,E01017530,100.0
E01006289,E01006289,100.0
E01012638,E01012638,100.0
E01011534,E01011534,100.0
E01022027,E01022027,100.0
E01013079,E01013079,100.0
E01018690,E01018690,100.0
E01017603,E01017603,100.0
E01017933,E01017933,100.0
E01001259,E01001259,100.0
E01023578,E01023578,100.0
E01029401,E01029401,100.0
E01017924,E01017924,100.0
E01028538,E01028538,100.0
E01023367,E01023367,100.0
E01025227,E01025227,100.0
E01018663,E01018663,100.0
E01011730,E01011730,100.0
E01016659,E01016659,100.0
E01032458,E01032458,100.0
E01022394,E01022394,100.0
E01027205,E01027205,100.0
E01019114,E01019114,100.0
E01006217,E01006217,100.0
E01033622,E01033622,100.0
E01018833,E01018833,100.0
E01003319,E01003319,100.0
E01007272,E01007272,100.0
E01004342,E01004342,100.0
E01010036,E01010036,100.0
E01021651,E01021651,100.0
E01006712,E01006712,100.0
E01014861,E01014861,100.0
E01011408,E01011408,100.0
E01030902,E01030902,100.0
E01022051,E01022051,100.0
E01017592,E01017592,100.0
E01021520,E01021520,100.0
E01012023,E01012023,100.0
E01002375,E01002375,100.0
E01005650,E01005650,100.0
E01007647,E01007647,100.0
E01012424,E01012424,100.0
E01028855,E01028855,100.0
E01015160,E01015160,100.0
E01027046,E01027046,100.0
E01029956,E01029956,100.0
E01017444,E01017444,100.0
E01001571,E01001571,100.0
E01029115,E01029115,100.0
E01030267,E01030267,100.0
E01018836,E01018836,100.0
E01013837,E01013837,100.0
E01000567,E01000567,100.0
E01001137,E01001137,100.0
E01027254,E01027254,100.0
E01013285,E01013285,100.0
E01016981,E01016981,100.0
E01003401,E01003401,100.0
E01019711,E01019711,100.0
E01010201,E01010201,100.0
E01015596,E01015596,100.0
E01030975,E01030975,100.0
E01020440,E01020440,100.0
E01019071,E01019071,100.0
E01009548,E01009548,100.0
E01010747,E01010747,100.0
E01024357,E01024357,100.0
W01001599,W01001599,100.0
E01000106,E01000106,100.0
E01016274,E01016274,100.0
E01025438,E01025438,100.0
E01014958,E01014958,100.0
E01028706,E01028706,100.0
E01002802,E01002802,100.0
E01016746,E01016746,100.0
E01028731,E01028731,100.0
E01000280,E01000280,100.0
E01012121,E01012121,100.0
E01022379,E01022379,100.0
E01030466,E01030466,100.0
E01021089,E01021089,100.0
W01001378,W01001378,100.0
E01001642,E01001642,100.0
E01007267,E01007267,100.0
E01029046,E01029046,100.0
E01006645,E01006645,100.0
E01018742,E01018742,100.0
E01033160,E01033160,100.0
E01002088,E01002088,100.0
E01003230,E01003230,100.0
E01008738,E01008738,100.0
E01010712,E01010712,100.0
