LSOA11CD,LivingEnv_2019,LivingEnv_2025_pred,confidence,boundary_changed,change,pct_change
E01000081,32.758,24.849123161490574,1.0,0,-7.908876838509428,-24.143344644085193
E01000082,30.006,24.19749434406458,1.0,0,-5.80850565593542,-19.357813956993336
E01000083,35.395,28.00921677547587,1.0,0,-7.385783224524133,-20.866741699460746
E01000084,28.534,27.750233411720185,1.0,0,-0.7837665882798142,-2.7467813425380747
E01000085,32.465,30.13387856477413,1.0,0,-2.3311214352258744,-7.180414092794931
E01000086,26.281,21.005736428253734,1.0,0,-5.275263571746265,-20.072537467167407
E01000087,31.357,29.794624685910726,1.0,0,-1.562375314089273,-4.98254078543634
E01000088,34.525,30.344700944168185,1.0,0,-4.180299055831814,-12.108034919136317
E01000089,40.955,27.625858086178276,1.0,0,-13.329141913821722,-32.54582325435654
E01000090,29.464,26.477768495360493,1.0,0,-2.9862315046395054,-10.13518702362037
E01000091,23.563,22.399138266589585,1.0,0,-1.163861733410414,-4.939361428554998
E01000092,29.993,29.8423477358859,0.75,1,-0.15065226411409682,-0.502291415043833
E01000093,43.57,29.957496434891755,1.0,0,-13.612503565108245,-31.242835816176832
E01000094,20.692,15.216262341297856,1.0,0,-5.475737658702144,-26.4630662028907
E01000095,18.657,19.04923144606864,1.0,0,0.3922314460686387,2.102328595533251
E01000096,29.982,26.64239665784394,1.0,0,-3.3396033421560603,-11.138694357134483
E01000097,28.566,24.81763469707117,1.0,0,-3.7483653029288284,-13.121771696873306
E01000098,28.673,31.776549245675387,1.0,0,3.1035492456753886,10.823943241639832
E01000099,26.795,20.999334506415245,1.0,0,-5.795665493584757,-21.62965289637901
E01000100,38.207,22.04627964103249,1.0,0,-16.16072035896751,-42.297799772207995
E01000101,37.223,25.174879532010124,1.0,0,-12.048120467989875,-32.36740850546671
E01000102,33.8,25.715733849412857,1.0,0,-8.08426615058714,-23.917947191086217
E01000103,20.068,16.723232266811717,1.0,0,-3.3447677331882844,-16.66717028696574
E01000104,18.066,19.56783370457746,1.0,0,1.5018337045774608,8.313039436385813
E01000105,25.589,22.568307203514028,1.0,0,-3.020692796485971,-11.804653548344879
E01000106,26.265,23.570620552751052,1.0,0,-2.6943794472489486,-10.258440690077855
E01000107,22.813,18.503027287850095,1.0,0,-4.309972712149904,-18.892616982202707
E01000108,35.136,27.592459615771844,1.0,0,-7.543540384228159,-21.46954799700637
E01000109,34.149,28.78459469944203,0.75,1,-5.364405300557969,-15.708821050566543
E01000110,20.544,25.13412032679344,1.0,0,4.590120326793439,22.342875422475853
E01000111,26.789,25.476367209846067,1.0,0,-1.312632790153934,-4.899894696158625
E01000112,40.766,31.761155335848628,1.0,0,-9.00484466415137,-22.089105293998358
E01000113,26.945,37.88770244808531,1.0,0,10.942702448085306,40.61125421445651
E01000114,34.274,34.8265890743281,1.0,0,0.5525890743280968,1.6122689920292255
E01000115,18.838,18.306309897765793,1.0,0,-0.531690102234208,-2.82243392204166
E01000116,18.248,25.786756888049972,1.0,0,7.538756888049971,41.312784349243586
E01000117,17.66,24.405959321703534,1.0,0,6.745959321703534,38.199090156871655
E01000118,16.261,22.83744056118184,1.0,0,6.57644056118184,40.4430266353966
E01000119,21.949,22.80683530035781,1.0,0,0.8578353003578094,3.908311542019269
E01000120,14.872,17.436975719372576,1.0,0,2.564975719372576,17.24701263698612
E01000121,13.339,12.957318874666365,1.0,0,-0.3816811253336354,-2.8613923482542574
E01000122,21.817,20.26952147598763,1.0,0,-1.5474785240123694,-7.092994105570745
E01000123,15.659,26.511429369519057,1.0,0,10.852429369519056,69.3047408488349
E01000124,20.768,28.332420261559065,1.0,0,7.564420261559064,36.42344116698317
E01000125,20.582,23.363939658284632,0.75,1,2.7819396582846316,13.516371870005983
E01000126,24.433,20.889569083133978,1.0,0,-3.543430916866022,-14.502643624876281
E01000127,22.92,21.309159265996747,1.0,0,-1.6108407340032542,-7.028100933696571
E01000128,27.146,27.053431326921363,1.0,0,-0.09256867307863814,-0.34100299520606403
E01000129,25.543,31.74545027468519,1.0,0,6.202450274685191,24.28238763921697
E01000130,35.288,24.26776989097457,1.0,0,-11.020230109025427,-31.229398404628846
E01000131,20.979,26.860096420714925,1.0,0,5.881096420714925,28.033254305328786
E01000132,25.837,24.92075378190006,1.0,0,-0.9162462180999391,-3.546256214343535
E01000133,26.72,24.12257007528408,1.0,0,-2.597429924715918,-9.720920376930833
E01000134,27.225,26.953797481313114,1.0,0,-0.27120251868688783,-0.9961525020638671
E01000135,33.536,36.44584022994894,1.0,0,2.9098402299489408,8.676765952853472
E01000136,36.198,43.571572017633684,1.0,0,7.373572017633684,20.37010889450711
E01000137,22.835,24.520496384946053,1.0,0,1.6854963849460525,7.381197218944831
