LSOA11CD,Income_2019,Income_2025_pred,confidence,boundary_changed,change,pct_change
E01000035,0.15,0.3343100924110078,1.0,0,0.1843100924110078,122.87339494067186
E01000036,0.112,0.270196945582673,1.0,0,0.158196945582673,141.2472728416723
E01000037,0.096,0.20487226408876774,1.0,0,0.10887226408876774,113.40860842579973
E01000038,0.127,0.23167910407286427,1.0,0,0.10467910407286427,82.42449139595611
E01000039,0.127,0.24457605158512993,1.0,0,0.11757605158512993,92.57956817726766
E01000040,0.218,0.4421955873672261,1.0,0,0.22419558736722608,102.84201255377343
E01000041,0.172,0.3860222750015391,1.0,0,0.2140222750015391,124.43155523345297
E01000042,0.263,0.5161665481615455,1.0,0,0.2531665481615455,96.26104492834429
E01000043,0.147,0.3533457787643538,1.0,0,0.2063457787643538,140.37127807098898
E01000044,0.133,0.3723964986786241,1.0,0,0.23939649867862411,179.99736742753691
E01000045,0.188,0.41080841478035474,1.0,0,0.22280841478035474,118.51511424486954
E01000046,0.17,0.3835205054916022,1.0,0,0.2135205054916022,125.60029734800129
E01000048,0.341,0.6099686157878544,0.75,1,0.2689686157878544,78.87642691725935
E01000049,0.29,0.47210260436484014,1.0,0,0.18210260436484016,62.7940015051173
E01000050,0.176,0.42377401126338354,1.0,0,0.24777401126338355,140.78068821783157
E01000051,0.234,0.5456641394866888,1.0,0,0.3116641394866888,133.18980319943967
E01000052,0.188,0.4223247281475012,1.0,0,0.23432472814750122,124.64081284441554
E01000053,0.229,0.4019609786633547,1.0,0,0.17296097866335466,75.5288116433863
E01000054,0.18,0.3591868711123505,1.0,0,0.1791868711123505,99.5482617290836
E01000055,0.211,0.38337344903653114,1.0,0,0.17237344903653115,81.69357774243181
E01000056,0.197,0.4281660243980905,1.0,0,0.23116602439809047,117.34315959293932
E01000057,0.196,0.3622509821966099,1.0,0,0.1662509821966099,84.82192969214789
E01000058,0.199,0.3798199358335565,1.0,0,0.1808199358335565,90.86428936359621
E01000059,0.176,0.3749050508887679,1.0,0,0.19890505088876792,113.01423345952725
E01000060,0.202,0.4023307618409837,1.0,0,0.2003307618409837,99.17364447573449
E01000061,0.303,0.6411112845616963,1.0,0,0.3381112845616963,111.58788269362915
E01000062,0.143,0.35003199502505145,1.0,0,0.20703199502505146,144.7776188986374
E01000063,0.181,0.3587342883933079,1.0,0,0.1777342883933079,98.19573944381652
