LSOA11CD,AdultSkills_2019,AdultSkills_2025_pred,confidence,boundary_changed,change,pct_change
E01000114,0.374,0.3071561461607666,1.0,0,-0.06684385383923341,-17.872688192308402
E01000115,0.229,0.16043727619541265,1.0,0,-0.06856272380458736,-29.940054063138586
E01000116,0.208,0.16690924630108195,1.0,0,-0.04109075369891804,-19.755170047556753
E01000117,0.213,0.1834764396892539,1.0,0,-0.0295235603107461,-13.860826436970001
E01000118,0.247,0.19364652233387153,1.0,0,-0.05335347766612847,-21.60059824539614
E01000119,0.217,0.18450863304594312,1.0,0,-0.03249136695405688,-14.972980163159853
E01000120,0.235,0.16300096871533123,1.0,0,-0.07199903128466875,-30.637885653050535
E01000121,0.348,0.28838632621853294,1.0,0,-0.059613673781467036,-17.130366029157194
E01000122,0.2,0.16650251420368373,1.0,0,-0.033497485796316284,-16.74874289815814
E01000123,0.262,0.20191289617341207,1.0,0,-0.06008710382658794,-22.934009094117535
E01000124,0.248,0.24327638476015134,1.0,0,-0.004723615239848655,-1.904683564455103
E01000125,0.364,0.31250807802734126,0.75,1,-0.05149192197265873,-14.146132410071077
E01000126,0.298,0.30361163980440103,1.0,0,0.005611639804401047,1.8831006055037072
E01000127,0.366,0.34022666244558925,1.0,0,-0.025773337554410747,-7.0418955066696025
E01000128,0.389,0.342077958739961,1.0,0,-0.046922041260039016,-12.062221403609001
E01000129,0.4,0.36952436888430956,1.0,0,-0.03047563111569046,-7.6189077789226145
E01000130,0.35,0.32574815204516533,1.0,0,-0.02425184795483465,-6.929099415667042
E01000131,0.308,0.3149490646399116,1.0,0,0.0069490646399116285,2.256189818153126
E01000132,0.361,0.3408377032687344,1.0,0,-0.020162296731265572,-5.585123748273012
E01000133,0.395,0.32535504900924916,1.0,0,-0.06964495099075085,-17.631633162215405
E01000134,0.322,0.32396812475240716,1.0,0,0.001968124752407152,0.6112188672071901
E01000135,0.171,0.1692208795637209,1.0,0,-0.001779120436279119,-1.0404213077655666
E01000136,0.109,0.10430261752429532,1.0,0,-0.004697382475704684,-4.309525207068518
E01000137,0.245,0.2807824324061987,1.0,0,0.035782432406198716,14.605074451509681
E01000138,0.276,0.280793826188011,1.0,0,0.004793826188010997,1.7368935463807957
E01000139,0.175,0.17393876128714242,1.0,0,-0.0010612387128575707,-0.6064221216328975
E01000140,0.177,0.19469861229276833,1.0,0,0.01769861229276834,9.999215984614882
E01000141,0.266,0.2825673270795115,1.0,0,0.016567327079511474,6.228318450944163
E01000142,0.228,0.24658303579884,1.0,0,0.018583035798839992,8.15045429773684
E01000143,0.309,0.2830051387131779,1.0,0,-0.025994861286822102,-8.412576468227218
E01000144,0.132,0.18663013190285904,1.0,0,0.054630131902859036,41.38646356277199
E01000145,0.189,0.21847988723574957,1.0,0,0.02947988723574957,15.597823934259031
E01000146,0.155,0.18732583808952546,1.0,0,0.032325838089525466,20.855379412597074
E01000147,0.305,0.32159937718472986,1.0,0,0.01659937718472987,5.44241874909176
E01000148,0.318,0.31230399852254853,0.75,1,-0.005696001477451473,-1.7911954331608406
E01000150,0.269,0.27643852632688537,1.0,0,0.007438526326885353,2.76525142263396
E01000151,0.325,0.3407030094803826,1.0,0,0.015703009480382613,4.831695224733111
E01000152,0.354,0.2937161664227966,1.0,0,-0.060283833577203405,-17.029331518984012
E01000153,0.417,0.3234875774303385,1.0,0,-0.09351242256966147,-22.425041383611866
E01000154,0.34,0.30647275557386006,1.0,0,-0.03352724442613997,-9.860954242982343
E01000155,0.261,0.2974984538151424,0.75,1,0.036498453815142384,13.98408192151049
E01000156,0.16,0.13505264053032318,1.0,0,-0.024947359469676827,-15.592099668548018
E01000157,0.195,0.1632869651570504,1.0,0,-0.0317130348429496,-16.263094791256204
E01000158,0.266,0.20982764548861088,1.0,0,-0.05617235451138913,-21.117426508041028
E01000159,0.227,0.19689248063617432,1.0,0,-0.03010751936382569,-13.263224389350524
E01000160,0.174,0.16255751083260955,1.0,0,-0.011442489167390435,-6.5761431996496755
E01000161,0.213,0.21872906820643653,1.0,0,0.005729068206436538,2.6897033833035393
E01000162,0.286,0.23533154194800127,1.0,0,-0.05066845805199871,-17.716244074125424
E01000163,0.281,0.25762560600249496,1.0,0,-0.023374393997505072,-8.318289678827426
E01000164,0.281,0.25339212762890995,1.0,0,-0.02760787237109008,-9.824865612487573
E01000165,0.196,0.20704389870615134,1.0,0,0.011043898706151328,5.6346421970159835
E01000166,0.234,0.20063885923339256,1.0,0,-0.033361140766607456,-14.256897763507459
E01000167,0.369,0.28355849935432886,1.0,0,-0.08544150064567113,-23.154878223759113
E01000168,0.206,0.1570157896921962,1.0,0,-0.04898421030780378,-23.778742867865915
E01000169,0.236,0.1722977513410343,1.0,0,-0.06370224865896568,-26.99247824532444
E01000170,0.288,0.2248974195379461,1.0,0,-0.06310258046205389,-21.910618215990937
E01000171,0.247,0.21607335629706426,1.0,0,-0.03092664370293574,-12.52090838175536
E01000172,0.189,0.15022710560833294,1.0,0,-0.03877289439166706,-20.51475893738998
E01000173,0.257,0.16883973545373157,1.0,0,-0.08816026454626844,-34.30360488181651
E01000174,0.259,0.21632694932895072,1.0,0,-0.04267305067104929,-16.476081340173472
E01000175,0.186,0.15353652005396995,1.0,0,-0.03246347994603005,-17.45348384195164
E01000176,0.288,0.23285593671783925,1.0,0,-0.05514406328216073,-19.1472441951947
E01000177,0.115,0.10322938116153485,1.0,0,-0.011770618838465155,-10.235320729100135
E01000178,0.132,0.11541694037282539,1.0,0,-0.016583059627174615,-12.562923959980768
E01000179,0.087,0.09311247658563372,1.0,0,0.006112476585633728,7.025835155900838
E01000180,0.182,0.16347471413235928,1.0,0,-0.01852528586764071,-10.178728498703688
E01000181,0.101,0.0908265274260701,1.0,0,-0.010173472573929906,-10.072745122702878
E01000182,0.095,0.08689149035865924,1.0,0,-0.008108509641340758,-8.535273306674481
E01000183,0.114,0.1047607886125617,1.0,0,-0.0092392113874383,-8.104571392489737
E01000184,0.321,0.26089283188094037,1.0,0,-0.06010716811905964,-18.724974491918893
E01000185,0.285,0.25414855166258166,1.0,0,-0.03085144833741832,-10.825069592076604
E01000186,0.183,0.1486162841439777,1.0,0,-0.03438371585602229,-18.78891576831819
E01000187,0.24,0.2086610923111454,1.0,0,-0.031338907688854584,-13.05787820368941
E01000188,0.17,0.13289872279934534,1.0,0,-0.037101277200654675,-21.824280706267455
E01000189,0.395,0.2755729308618031,1.0,0,-0.1194270691381969,-30.234701047644784
E01000190,0.211,0.18616569280295414,1.0,0,-0.024834307197045852,-11.76981383746249
E01000191,0.163,0.15450207751835981,1.0,0,-0.008497922481640191,-5.213449375239381
E01000192,0.198,0.2376054437600586,1.0,0,0.03960544376005859,20.002749373766964
E01000193,0.224,0.2341167698146646,1.0,0,0.010116769814664583,4.516415095832404
E01000194,0.243,0.28312006702131204,1.0,0,0.040120067021312045,16.51031564663047
E01000195,0.361,0.3184205669692146,1.0,0,-0.042579433030785374,-11.794856795231405
E01000196,0.175,0.2006467249657815,1.0,0,0.02564672496578152,14.655271409018011
E01000197,0.164,0.18091904425792915,1.0,0,0.016919044257929144,10.316490401176306
E01000198,0.179,0.16271812815208322,1.0,0,-0.016281871847916768,-9.096017792132272
E01000199,0.138,0.11877957569106345,1.0,0,-0.019220424308936557,-13.927843702127939
E01000200,0.145,0.14046766951263465,1.0,0,-0.004532330487365344,-3.125745163700237
E01000201,0.142,0.11115373718344854,1.0,0,-0.03084626281655145,-21.722720293346093
E01000202,0.13,0.11787977285727906,1.0,0,-0.012120227142720943,-9.32325164824688
E01000203,0.239,0.2454772020368131,1.0,0,0.006477202036813123,2.7101263752356166
E01000204,0.159,0.13241292201788588,1.0,0,-0.026587077982114127,-16.721432693153538
E01000205,0.116,0.09427183869423866,1.0,0,-0.021728161305761343,-18.731173539449433
E01000206,0.143,0.1323098611255138,1.0,0,-0.010690138874486194,-7.475621590549787
E01000207,0.113,0.10567579492074496,1.0,0,-0.007324205079255047,-6.481597415269953
E01000208,0.097,0.08680351023310155,1.0,0,-0.01019648976689845,-10.511845120513867
E01000209,0.083,0.07223596081510424,1.0,0,-0.010764039184895768,-12.968721909512974
E01000210,0.098,0.08649254618607473,1.0,0,-0.011507453813925275,-11.74229981012783
E01000211,0.176,0.211875241654088,1.0,0,0.03587524165408801,20.38366003073182
E01000212,0.11,0.1120235551915839,1.0,0,0.002023555191583898,1.8395956287126345
E01000213,0.082,0.08218308926085853,1.0,0,0.00018308926085852661,0.22327958641283732
E01000214,0.103,0.09788957353694164,1.0,0,-0.005110426463058357,-4.96157909034792
E01000215,0.217,0.2355246857828201,1.0,0,0.0185246857828201,8.53672155890327
E01000216,0.15,0.1635278217360861,1.0,0,0.013527821736086104,9.018547824057404
E01000217,0.211,0.21219624031048406,1.0,0,0.0011962403104840702,0.5669385357744409
E01000218,0.217,0.21794048574270192,1.0,0,0.0009404857427019186,0.4334035680654003
E01000219,0.228,0.2648384220135893,1.0,0,0.036838422013589306,16.157202637539168
E01000220,0.206,0.24634251716378858,1.0,0,0.04034251716378859,19.583746196013877
E01000221,0.353,0.32758246345028397,1.0,0,-0.025417536549716013,-7.20043528320567
E01000222,0.288,0.27890853921778225,1.0,0,-0.00909146078221773,-3.1567572160478234
E01000223,0.376,0.3205614356413361,1.0,0,-0.0554385643586639,-14.744299031559548
E01000224,0.292,0.2849405189774953,1.0,0,-0.007059481022504699,-2.4176304871591436
E01000225,0.186,0.19074794220309718,1.0,0,0.004747942203097183,2.5526570984393455
E01000226,0.39,0.3219584663673494,1.0,0,-0.06804153363265059,-17.44654708529502
E01000227,0.234,0.1973117794810752,1.0,0,-0.03668822051892481,-15.678726717489235
E01000228,0.215,0.17598689503785403,1.0,0,-0.03901310496214597,-18.145630214951613
E01000229,0.27,0.2614495727598416,1.0,0,-0.00855042724015842,-3.1668249037623775
E01000230,0.257,0.1991913771523513,1.0,0,-0.057808622847648705,-22.493627567178482
E01000231,0.221,0.21451935261159943,1.0,0,-0.006480647388400568,-2.9324196327604377
E01000232,0.21,0.18498930647913975,1.0,0,-0.025010693520860244,-11.909854057552499
E01000233,0.207,0.18182471942116357,1.0,0,-0.025175280578836418,-12.161971294123875
E01000234,0.194,0.18262515808613236,1.0,0,-0.011374841913867645,-5.863320574158579
E01000235,0.309,0.2741816824423169,1.0,0,-0.03481831755768311,-11.268063934525278
E01000236,0.168,0.18612041899529436,1.0,0,0.018120418995294346,10.785963687675206
E01000237,0.166,0.19840373466612513,1.0,0,0.03240373466612512,19.52032208802718
E01000238,0.205,0.22806617405834662,1.0,0,0.023066174058346628,11.251792223583722
E01000239,0.205,0.2601111297267367,1.0,0,0.055111129726736735,26.883477915481336
E01000240,0.217,0.23586825939706013,1.0,0,0.018868259397060133,8.695050413391767
E01000241,0.158,0.17155816219731213,1.0,0,0.013558162197312124,8.581115314754507
E01000242,0.206,0.1926939767754144,1.0,0,-0.0133060232245856,-6.459234575041554
E01000243,0.175,0.2354584700319507,1.0,0,0.060458470031950706,34.54769716111469
E01000244,0.168,0.2220130955520671,1.0,0,0.0540130955520671,32.15065211432565
E01000245,0.282,0.31503881032738906,1.0,0,0.03303881032738909,11.71589018701741
E01000246,0.168,0.13296031325052932,1.0,0,-0.035039686749470694,-20.856956398494457
E01000247,0.193,0.14731031995564575,1.0,0,-0.04568968004435425,-23.67340934940635
E01000248,0.151,0.10775438809095925,1.0,0,-0.04324561190904075,-28.63947808545745
E01000249,0.159,0.10966165598456042,1.0,0,-0.049338344015439586,-31.030405041156975
E01000250,0.192,0.17317052325783466,1.0,0,-0.01882947674216534,-9.807019136544449
E01000251,0.253,0.20775876247102754,1.0,0,-0.04524123752897247,-17.881912066787535
E01000252,0.172,0.15517604615940084,1.0,0,-0.01682395384059915,-9.78136851197625
E01000253,0.221,0.1529169363119236,1.0,0,-0.0680830636880764,-30.80681614845086
E01000254,0.149,0.1141617657642872,1.0,0,-0.03483823423571279,-23.381365258867646
E01000255,0.252,0.21877766525358738,1.0,0,-0.03322233474641262,-13.183466169211357
E01000256,0.154,0.1619107926512737,1.0,0,0.007910792651273701,5.136878344982923
E01000257,0.3,0.24611026219820792,1.0,0,-0.05388973780179207,-17.96324593393069
E01000258,0.165,0.15473694596858203,1.0,0,-0.010263054031417973,-6.2200327463139224
E01000259,0.197,0.18321221907273133,1.0,0,-0.013787780927268678,-6.998873567141461
E01000260,0.242,0.21849400139089983,1.0,0,-0.02350599860910016,-9.713222565743868
E01000261,0.151,0.11855506569027141,1.0,0,-0.032444934309728585,-21.486711463396414
E01000262,0.222,0.1987435805546747,0.75,1,-0.023256419445325305,-10.475864615011398
E01000263,0.145,0.09510869038018818,1.0,0,-0.04989130961981181,-34.40779973780125
E01000264,0.224,0.22605431994547137,1.0,0,0.0020543199454713668,0.917107118514003
E01000265,0.243,0.22575387290483126,1.0,0,-0.017246127095168734,-7.097171644102359
E01000266,0.193,0.13003393744048528,1.0,0,-0.06296606255951473,-32.62490288057758
E01000267,0.196,0.14972556447658691,1.0,0,-0.04627443552341309,-23.609405879292392
E01000268,0.178,0.17657050300018698,1.0,0,-0.0014294969998130125,-0.8030882021421418
E01000269,0.252,0.16961560545657256,1.0,0,-0.08238439454342744,-32.69222005691565
E01000270,0.187,0.1462383890580271,1.0,0,-0.04076161094197289,-21.79765291014593
E01000271,0.189,0.14916991566196516,1.0,0,-0.03983008433803484,-21.074118697372928
E01000272,0.164,0.11512545224229631,1.0,0,-0.048874547757703696,-29.801553510794935
E01000273,0.179,0.18922223313241499,1.0,0,0.010222233132414993,5.710744766712287
E01000274,0.254,0.21576905659636225,1.0,0,-0.03823094340363775,-15.051552521117225
E01000275,0.168,0.15314373213639165,1.0,0,-0.014856267863608358,-8.843016585481166
E01000276,0.136,0.11276922724612085,1.0,0,-0.023230772753879164,-17.081450554322913
