LSOA11CD,IDACI_2019,IDACI_2025_pred,confidence,boundary_changed,change,pct_change
E01000046,0.208,0.5177329683681089,1.0,0,0.30973296836810893,148.91008094620622
E01000048,0.389,0.734176582795891,0.75,1,0.34517658279589103,88.73434005035757
E01000049,0.335,0.6306349453172636,1.0,0,0.2956349453172636,88.24923740813838
E01000050,0.152,0.5815551824584659,1.0,0,0.4295551824584659,282.60209372267497
E01000051,0.322,0.7004650049123773,1.0,0,0.3784650049123773,117.53571581129728
E01000052,0.212,0.5663313991786132,1.0,0,0.3543313991786132,167.1374524427421
E01000053,0.279,0.5510948218757031,1.0,0,0.2720948218757031,97.52502576190074
E01000054,0.244,0.47815612959223514,1.0,0,0.23415612959223514,95.96562688206357
E01000055,0.295,0.5186465091501885,1.0,0,0.22364650915018852,75.81237598311476
E01000056,0.225,0.5596620787233269,1.0,0,0.3346620787233269,148.73870165481193
E01000057,0.254,0.5011376667550538,1.0,0,0.24713766675505378,97.29829399805266
E01000058,0.25,0.5099488341698941,1.0,0,0.2599488341698941,103.97953366795764
E01000059,0.194,0.5210378959665581,1.0,0,0.32703789596655813,168.57623503430833
E01000060,0.244,0.5365721058657529,1.0,0,0.2925721058657529,119.90660076465284
E01000061,0.359,0.817349384696274,1.0,0,0.45834938469627406,127.67392331372537
E01000062,0.181,0.5272635105701138,1.0,0,0.3462635105701138,191.30580694481424
E01000063,0.217,0.4958339462335875,1.0,0,0.2788339462335875,128.4949060984274
E01000064,0.257,0.5628883088203497,1.0,0,0.3058883088203497,119.0226882569454
E01000065,0.245,0.5794444884701231,1.0,0,0.3344444884701231,136.50795447760126
E01000066,0.143,0.4671077373520613,1.0,0,0.32410773735206133,226.6487673790639
E01000067,0.162,0.4635539377691435,1.0,0,0.3015539377691435,186.1444060303355
E01000068,0.128,0.48157853180729926,1.0,0,0.35357853180729926,276.2332279744525
E01000069,0.089,0.3560372834567671,1.0,0,0.26703728345676714,300.04189152445747
E01000070,0.121,0.4070215054308619,1.0,0,0.2860215054308619,236.3814094469933
E01000071,0.158,0.44716315316210453,1.0,0,0.2891631531621045,183.01465390006615
E01000072,0.29,0.6112295159057246,1.0,0,0.3212295159057246,110.76879858818091
E01000073,0.237,0.5571099933077872,1.0,0,0.3201099933077872,135.06750772480476
E01000074,0.287,0.5573348607642571,1.0,0,0.2703348607642571,94.19333127674464
E01000075,0.279,0.5019422169653696,1.0,0,0.22294221696536953,79.90760464708585
E01000076,0.211,0.5471964947327995,1.0,0,0.33619649473279956,159.33483162691923
E01000077,0.294,0.5736483529585256,1.0,0,0.2796483529585256,95.11848740085905
E01000078,0.322,0.5847721669224394,1.0,0,0.2627721669224394,81.60626301939111
E01000079,0.252,0.514135130794525,1.0,0,0.262135130794525,104.02187729941468
E01000080,0.221,0.5128984828565332,1.0,0,0.2918984828565332,132.08076147354444
E01000081,0.207,0.5035693118261914,1.0,0,0.2965693118261914,143.27019894985094
E01000082,0.171,0.5117120727832045,1.0,0,0.3407120727832045,199.24682618900846
E01000083,0.249,0.5834228378579951,1.0,0,0.3344228378579951,134.3063605855402
E01000084,0.266,0.5352425597217405,1.0,0,0.2692425597217405,101.21900741418814
E01000085,0.197,0.5761374923862764,1.0,0,0.3791374923862764,192.4555798915109
E01000086,0.236,0.5434516428861369,1.0,0,0.3074516428861369,130.27611986700717
E01000087,0.263,0.5812541489186159,1.0,0,0.3182541489186159,121.00918209833304
E01000088,0.177,0.5301054242921517,1.0,0,0.3531054242921517,199.49458999556595
E01000089,0.216,0.5946981680309992,1.0,0,0.3786981680309992,175.3232259402774
E01000090,0.25,0.5726863104738795,1.0,0,0.3226863104738795,129.07452418955182
E01000091,0.27,0.647130036017115,1.0,0,0.37713003601711503,139.67779111745
E01000092,0.263,0.5705936326439707,0.75,1,0.30759363264397066,116.95575385702305
E01000093,0.32,0.6389768405879814,1.0,0,0.3189768405879814,99.68026268374419
E01000094,0.191,0.5095067241450233,1.0,0,0.3185067241450233,166.75744719634727
E01000095,0.262,0.5381028105193164,1.0,0,0.2761028105193164,105.3827521066093
E01000096,0.345,0.595083582473745,1.0,0,0.25008358247374507,72.48799491992611
E01000097,0.232,0.5117042300189236,1.0,0,0.27970423001892364,120.562168111605
E01000098,0.26,0.5793666086532508,1.0,0,0.31936660865325084,122.83331102048109
E01000099,0.2,0.48105689279720215,1.0,0,0.28105689279720214,140.52844639860106
E01000100,0.167,0.47855707764740146,1.0,0,0.3115570776474015,186.56112433976136
E01000101,0.294,0.5551175394122704,1.0,0,0.2611175394122704,88.81548959601034
E01000102,0.322,0.5481157148204688,1.0,0,0.22611571482046883,70.22227168337541
E01000103,0.236,0.5420399642248126,1.0,0,0.3060399642248126,129.67795094271722
E01000104,0.275,0.5901554313842831,1.0,0,0.31515543138428304,114.60197504883018
E01000105,0.273,0.6108999103118138,1.0,0,0.33789991031181377,123.7728609200783
