LSOA11CD,Indoors_2019,Indoors_2025_pred,confidence,boundary_changed,change,pct_change
E01000080,-0.068,0.0713148581349074,1.0,0,0.1393148581349074,-204.8747913748638
E01000081,0.419,0.21338018490331973,1.0,0,-0.20561981509668026,-49.07394155052035
E01000082,0.248,0.1273859277841604,1.0,0,-0.12061407221583959,-48.634706538645
E01000083,0.49,0.28412874652758147,1.0,0,-0.20587125347241853,-42.01454152498337
E01000084,0.127,0.17773391158012447,1.0,0,0.05073391158012447,39.94796187411375
E01000085,0.311,0.3315118323037445,1.0,0,0.02051183230374448,6.59544447065739
E01000086,0.192,0.05604943606496836,1.0,0,-0.13595056393503163,-70.80758538282898
E01000087,0.372,0.1562365718762298,1.0,0,-0.2157634281237702,-58.00092153864791
E01000088,0.353,0.2728146575907133,1.0,0,-0.08018534240928665,-22.715394450222853
E01000089,0.746,0.43047037740296634,1.0,0,-0.31552962259703365,-42.2961960585836
E01000090,0.19,0.09251049443950546,1.0,0,-0.09748950556049454,-51.31026608447081
E01000091,-0.327,-0.16032927397109545,1.0,0,0.16667072602890456,-50.96964098743259
E01000092,0.36,0.06734846611839947,0.75,1,-0.29265153388160053,-81.29209274488905
E01000093,0.601,0.08065415423479266,1.0,0,-0.5203458457652073,-86.58000761484314
E01000094,-0.09,-0.5101630575018661,1.0,0,-0.4201630575018661,466.84784166874016
E01000095,-0.518,-0.3717359736442646,1.0,0,0.14626402635573543,-28.23629852427325
E01000096,-0.184,-0.26050677538927003,1.0,0,-0.07650677538927003,41.57976923329893
E01000097,0.132,0.17206897756045886,1.0,0,0.04006897756045885,30.355286030650642
E01000098,0.123,0.26505887618152485,1.0,0,0.14205887618152485,115.49502128579256
E01000099,0.268,-0.026908869483736594,1.0,0,-0.2949088694837366,-110.04062294169277
E01000100,0.634,0.032698706543595975,1.0,0,-0.601301293456404,-94.84247530858109
E01000101,0.313,0.10520050592987781,1.0,0,-0.2077994940701222,-66.38961471888888
E01000102,0.416,0.13506696658903808,1.0,0,-0.2809330334109619,-67.53197918532737
E01000103,-0.119,-0.2681810905498555,1.0,0,-0.1491810905498555,125.36226096626514
E01000104,-0.309,-0.23436603889556332,1.0,0,0.07463396110443668,-24.153385470691482
E01000105,-0.064,-0.18593085587208125,1.0,0,-0.12193085587208125,190.51696230012692
E01000106,0.248,-0.0629052246658606,1.0,0,-0.31090522466586057,-125.36500994591152
E01000107,0.042,-0.10859515679817482,1.0,0,-0.1505951567981748,-358.5598971385114
E01000108,0.673,-0.002386664966149095,1.0,0,-0.6753866649661492,-100.35463075277106
E01000109,0.469,0.18882682676461665,0.75,1,-0.2801731732353833,-59.73841646809879
E01000110,-0.133,0.21446969199713078,1.0,0,0.3474696919971308,-261.25540751663965
E01000111,0.206,0.035187856074607574,1.0,0,-0.1708121439253924,-82.9185164686371
E01000112,0.815,0.19880910610901023,1.0,0,-0.6161908938909897,-75.60624464920119
E01000113,0.087,0.5109855178312133,1.0,0,0.4239855178312133,487.33967566806126
E01000114,0.535,0.48424156083978237,1.0,0,-0.05075843916021766,-9.487558721536011
E01000115,-0.444,-0.11560302906229765,1.0,0,0.32839697093770237,-73.96328174272577
E01000116,-0.107,0.21963380686741377,1.0,0,0.3266338068674138,-305.26524006300355
E01000117,-0.161,0.09478265304740797,1.0,0,0.255782653047408,-158.8712130729242
E01000118,-0.306,0.042810190016326286,1.0,0,0.3488101900163263,-113.99025817527003
E01000119,-0.158,0.10680412008312501,1.0,0,0.26480412008312504,-167.59754435640826
E01000120,-0.584,-0.09673629781502162,1.0,0,0.48726370218497833,-83.43556544263328
E01000121,-0.853,-0.3879284031217775,1.0,0,0.46507159687822247,-54.52187536673183
E01000122,0.057,0.0895461453290925,1.0,0,0.032546145329092495,57.098500577355246
E01000123,-0.298,0.19909275802925286,1.0,0,0.49709275802925285,-166.80965034538687
E01000124,-0.365,0.06639538054293834,1.0,0,0.43139538054293836,-118.19051521724339
E01000125,-0.538,-0.2528452490224194,0.75,1,0.28515475097758064,-53.00274181739417
