LSOA11CD,Health_2019,Health_2025_pred,confidence,boundary_changed,change,pct_change
E01000029,-0.28,-0.16024742525721658,1.0,0,0.11975257474278345,-42.76877669385122
E01000030,0.016,0.4867642505385079,1.0,0,0.4707642505385079,2942.2765658656745
E01000031,0.046,-0.1408304821888804,1.0,0,-0.18683048218888038,-406.1532221497399
E01000032,0.095,0.09128310291217168,1.0,0,-0.0037168970878283247,-3.912523250345605
E01000033,0.278,0.5268884284097698,1.0,0,0.24888842840976977,89.52821165819056
E01000034,0.661,0.7652052630593187,1.0,0,0.10420526305931865,15.764790175388601
E01000035,0.397,0.37609413613587944,1.0,0,-0.020905863864120577,-5.265960671063118
E01000036,-0.185,-0.007230320419723765,1.0,0,0.17776967958027623,-96.0917186920412
E01000037,-0.504,-0.43736771200567437,1.0,0,0.06663228799432563,-13.220692062366195
E01000038,-0.103,-0.05761649701328246,1.0,0,0.04538350298671753,-44.06165338516266
E01000039,0.173,0.06532028263703554,1.0,0,-0.10767971736296444,-62.242611192465006
E01000040,0.155,0.3960458043805843,1.0,0,0.2410458043805843,155.51342218102212
E01000041,0.349,0.3006080626829429,1.0,0,-0.0483919373170571,-13.865884618067938
E01000042,0.526,0.5684155563901792,1.0,0,0.04241555639017913,8.063793990528351
E01000043,0.044,0.18442632922050345,1.0,0,0.14042632922050347,319.150748228417
E01000044,-0.41,-0.07109823468795023,1.0,0,0.33890176531204974,-82.65896714928043
E01000045,0.279,0.3864808284537026,1.0,0,0.10748082845370255,38.52359442785038
E01000046,0.222,0.321875782682858,1.0,0,0.09987578268285799,44.989091298584675
E01000048,0.495,0.6746753704191093,0.75,1,0.1796753704191093,36.29805463012309
E01000049,0.409,0.44056002543590767,1.0,0,0.03156002543590769,7.716387637141245
E01000050,0.61,0.4624921731743571,1.0,0,-0.1475078268256429,-24.181610955023423
E01000051,0.391,0.6519669401294186,1.0,0,0.26096694012941857,66.7434629487004
E01000052,-0.153,0.25837293629454683,1.0,0,0.41137293629454685,-268.8712001925143
E01000053,0.701,0.7015383201064302,1.0,0,0.00053832010643029,0.07679316782172468
E01000054,0.198,0.37687707045398,1.0,0,0.17887707045398,90.34195477473736
E01000055,0.126,0.22816259074792294,1.0,0,0.10216259074792294,81.08142122851027
E01000056,0.455,0.6428411221767036,1.0,0,0.18784112217670362,41.28376311575904
E01000057,0.097,0.27337343123993235,1.0,0,0.17637343123993235,181.82827962879625
E01000058,0.147,0.35549291019078094,1.0,0,0.20849291019078095,141.8319116944088
E01000059,0.136,0.4397385568039911,1.0,0,0.3037385568039911,223.33717412058166
E01000060,0.282,0.5233520402475376,1.0,0,0.2413520402475376,85.58582987501333
E01000061,1.013,1.155240574555854,1.0,0,0.14224057455585415,14.041517725158357
E01000062,-0.143,0.26235343969950736,1.0,0,0.4053534396995073,-283.46394384580935
E01000063,0.286,0.4754568084482948,1.0,0,0.18945680844829482,66.2436393175856
E01000064,0.39,0.5479270761291888,1.0,0,0.15792707612918877,40.49412208440737
E01000065,0.817,0.8514837872211758,1.0,0,0.03448378722117584,4.2207817896176065
E01000066,0.054,0.01595278007465958,1.0,0,-0.03804721992534042,-70.45781467655634
E01000067,-0.388,-0.2688138329610128,1.0,0,0.11918616703898721,-30.718084288398764
E01000068,0.167,-0.05830833106137936,1.0,0,-0.22530833106137937,-134.91516830022715
E01000069,-0.626,-0.6080556302533944,1.0,0,0.017944369746605626,-2.866512739074381
E01000070,-0.442,-0.4460806514248784,1.0,0,-0.004080651424878401,0.9232243042711314
E01000071,-0.261,-0.24756777145023495,1.0,0,0.013432228549765057,-5.146447720216496
E01000072,0.478,0.7119862260591154,1.0,0,0.23398622605911545,48.95109331780658
E01000073,0.57,0.549002881186717,1.0,0,-0.020997118813282922,-3.6837050549619166
E01000074,0.461,0.523357557525497,1.0,0,0.06235755752549693,13.526585146528618
E01000075,0.136,0.34692721207322585,1.0,0,0.21092721207322584,155.09353828913663
E01000076,0.097,0.3914619406579688,1.0,0,0.2944619406579688,303.5690109875967
E01000077,0.725,0.6758232152205367,1.0,0,-0.0491767847794633,-6.783004797167352
E01000078,0.035,0.45990549936109887,1.0,0,0.4249054993610989,1214.0157124602824
