LSOA11CD,GeoBarriers_2019,GeoBarriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000033,0.569,25.866058074508054,1.0,0,25.297058074508055,4445.880153692101
E01000034,0.098,25.909947035743976,1.0,0,25.811947035743977,26338.721465044877
E01000035,-0.574,22.192840914832242,1.0,0,22.766840914832244,-3966.3485914341895
E01000036,-1.142,21.319018597658058,1.0,0,22.461018597658057,-1966.8142379735605
E01000037,-0.341,25.987186669928292,1.0,0,26.328186669928293,-7720.875856283956
E01000038,-1.163,24.124852507095724,1.0,0,25.287852507095725,-2174.363930102814
E01000039,0.477,29.437271845987773,1.0,0,28.960271845987773,6071.335816768926
E01000040,-1.724,16.35548904174938,1.0,0,18.07948904174938,-1048.694259962261
E01000041,-0.112,20.531666852446488,1.0,0,20.643666852446486,-18431.845403970077
E01000042,0.213,18.454495382947144,1.0,0,18.241495382947143,8564.082339411805
E01000043,-1.015,17.22069977470543,1.0,0,18.23569977470543,-1796.6206674586633
E01000044,-1.632,15.882570749551011,1.0,0,17.514570749551012,-1073.1967371048415
E01000045,-1.148,18.740425844546316,1.0,0,19.888425844546315,-1732.4412756573447
E01000046,-0.439,19.679706160764717,1.0,0,20.118706160764717,-4582.848783773284
E01000048,-0.203,14.928465193617189,0.75,1,15.131465193617188,-7453.923740698122
E01000049,-0.05,16.355356834765786,1.0,0,16.405356834765787,-32810.71366953157
E01000050,-0.747,13.760659348761106,1.0,0,14.507659348761106,-1942.1230721233073
E01000051,-0.538,11.918682584203662,1.0,0,12.456682584203662,-2315.3685100750304
E01000052,-0.105,17.32570938821649,1.0,0,17.430709388216492,-16600.67560782523
E01000053,-0.382,20.479977744833036,1.0,0,20.861977744833037,-5461.25071854268
E01000054,-0.95,19.930510732601917,1.0,0,20.880510732601916,-2197.948498168623
E01000055,-0.94,20.44160602223139,1.0,0,21.38160602223139,-2274.6389385352545
E01000056,-0.044,23.316657663676644,1.0,0,23.360657663676644,-53092.40378108328
E01000057,-1.757,18.05267344372189,1.0,0,19.80967344372189,-1127.471453825947
E01000058,-0.597,18.371180664370662,1.0,0,18.968180664370664,-3177.2496925243995
E01000059,-0.655,20.61851745294294,1.0,0,21.27351745294294,-3247.865259991289
E01000060,-0.3,19.986339701318084,1.0,0,20.286339701318084,-6762.113233772695
E01000061,0.008,20.574926628282036,1.0,0,20.566926628282037,257086.58285352544
E01000062,-0.381,20.060413898621963,1.0,0,20.441413898621963,-5365.200498325975
