LSOA11CD,WiderBarriers_2019,WiderBarriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000189,5.154,5.7027763325151,1.0,0,0.5487763325151,10.647581150855647
E01000190,1.837,4.197081683051635,1.0,0,2.360081683051635,128.47477860923433
E01000191,1.549,4.735930735044835,1.0,0,3.1869307350448355,205.7411707582205
E01000192,3.844,5.800205994228019,1.0,0,1.9562059942280192,50.88985416826273
E01000193,3.548,4.8453864997019105,1.0,0,1.2973864997019104,36.56669954064009
E01000194,4.283,5.612124440143274,1.0,0,1.329124440143274,31.03255755646215
E01000195,5.46,6.12311041528902,1.0,0,0.6631104152890197,12.144879400897796
E01000196,4.107,5.062755821867293,1.0,0,0.9557558218672924,23.271385971933096
E01000197,3.578,4.914425385598521,1.0,0,1.3364253855985209,37.35118461706319
E01000198,2.372,4.981340973102917,1.0,0,2.609340973102917,110.00594321681776
E01000199,1.683,3.8479399249213007,1.0,0,2.164939924921301,128.63576499829475
E01000200,2.353,4.231295194594369,1.0,0,1.878295194594369,79.8255501315074
E01000201,1.497,3.374612043623274,1.0,0,1.8776120436232737,125.42498621397952
E01000202,2.493,4.472446222709158,1.0,0,1.9794462227091585,79.40016938263773
E01000203,3.593,5.171747381155009,1.0,0,1.5787473811550088,43.939531899666264
E01000204,2.904,4.432968197239845,1.0,0,1.5289681972398448,52.650420015146175
E01000205,1.302,3.4838464819126673,1.0,0,2.1818464819126673,167.5765347091142
E01000206,1.163,2.733498344891743,1.0,0,1.5704983448917431,135.03855072156003
E01000207,1.955,3.013050839017685,1.0,0,1.0580508390176848,54.12024752008618
E01000208,1.77,4.1228406445971055,1.0,0,2.3528406445971055,132.9288499772376
E01000209,2.26,2.339362275831265,1.0,0,0.0793622758312651,3.511605125277217
E01000210,2.17,4.401435176290594,1.0,0,2.231435176290594,102.83111411477392
E01000211,4.033,5.099724952940429,1.0,0,1.0667249529404286,26.449912049105592
E01000212,2.164,3.299593562690733,1.0,0,1.1355935626907327,52.47659716685456
E01000213,1.635,2.7032707217813945,1.0,0,1.0682707217813945,65.33765882455012
E01000214,3.099,3.902990730581148,1.0,0,0.8039907305811478,25.943553745761463
E01000215,3.498,5.145044268773009,1.0,0,1.6470442687730085,47.08531357269892
E01000216,3.08,4.849750445051004,1.0,0,1.7697504450510042,57.45943003412351
E01000217,2.757,4.625378218276479,1.0,0,1.868378218276479,67.76852442061947
E01000218,3.631,5.05629829346451,1.0,0,1.4252982934645106,39.25360213342084
E01000219,4.455,5.766783551435147,1.0,0,1.3117835514351466,29.445197563078487
E01000220,3.957,5.342169366768025,1.0,0,1.3851693667680252,35.00554376467084
E01000221,5.139,5.726487195130516,1.0,0,0.5874871951305156,11.4319360795975
E01000222,4.115,5.643515615032379,1.0,0,1.5285156150323784,37.144972418769825
E01000223,5.44,6.047236976166481,1.0,0,0.6072369761664804,11.162444414825007
E01000224,3.88,5.2992976471368305,1.0,0,1.4192976471368306,36.57983626641316
E01000225,2.548,4.601765503963605,1.0,0,2.0537655039636054,80.6030417568134
E01000226,5.186,5.777601490162044,1.0,0,0.5916014901620441,11.407664677247285
E01000227,2.718,4.483724293512026,1.0,0,1.7657242935120259,64.96410204238505
E01000228,1.914,3.554228254621436,1.0,0,1.6402282546214362,85.6963560408274
E01000229,3.999,5.557882969950809,1.0,0,1.5588829699508087,38.98181970369614
E01000230,2.214,4.840760137691074,1.0,0,2.626760137691074,118.64318598424002
E01000231,3.515,5.813578115547077,1.0,0,2.2985781155470772,65.3934030027618
E01000232,3.437,5.405727701690494,1.0,0,1.968727701690494,57.28041029067484
E01000233,2.828,4.157315518638603,1.0,0,1.329315518638603,47.0054992446465
E01000234,3.263,4.915244148938291,1.0,0,1.6522441489382915,50.63573855158724
E01000235,4.476,5.186605837660615,1.0,0,0.7106058376606148,15.8759123695401
E01000236,3.227,4.811753943211917,1.0,0,1.584753943211917,49.10920183489053
E01000237,3.612,5.665660463120252,1.0,0,2.053660463120252,56.85660196899923
E01000238,3.923,5.2747731842643795,1.0,0,1.3517731842643794,34.45763916044811
E01000239,4.456,6.174366641715128,1.0,0,1.7183666417151278,38.562985675833204
E01000240,3.953,6.017496483822307,1.0,0,2.064496483822307,52.22606839924886
E01000241,3.4,5.108715011249531,1.0,0,1.7087150112495313,50.25632386028034
E01000242,3.669,5.103624016967011,1.0,0,1.4346240169670108,39.101226954674594
E01000243,4.229,5.416360402263301,1.0,0,1.1873604022633009,28.076623368723123
E01000244,4.107,4.995686970531348,1.0,0,0.8886869705313476,21.638348442448198
E01000245,4.401,5.908434951708583,1.0,0,1.507434951708583,34.25210069776376
E01000246,1.901,2.3388729379168884,1.0,0,0.4378729379168884,23.03382103718508
E01000247,2.85,3.181680366653096,1.0,0,0.33168036665309586,11.637907601863013
E01000248,1.896,1.4359773048151003,1.0,0,-0.4600226951848996,-24.262800378950402
E01000249,0.886,0.21885684507120845,1.0,0,-0.6671431549287916,-75.29832448406226
E01000250,2.744,3.3897555382904025,1.0,0,0.6457555382904023,23.53336509804673
E01000251,3.346,4.225404501317578,1.0,0,0.8794045013175777,26.282262442246793
E01000252,2.85,3.5659356937192688,1.0,0,0.7159356937192687,25.12055065681644
E01000253,0.467,0.7960466657543629,1.0,0,0.32904666575436287,70.45967146774365
E01000254,1.084,0.14443973294519763,1.0,0,-0.9395602670548024,-86.6753013888194
E01000255,3.867,4.719474501085224,1.0,0,0.8524745010852239,22.04485391996959
E01000256,2.137,4.409010897990403,1.0,0,2.2720108979904032,106.31777716379987
E01000257,4.945,4.849790281624244,1.0,0,-0.09520971837575587,-1.9253734757483492
