LSOA11CD,Barriers_2019,Barriers_2025_pred,confidence,boundary_changed,change,pct_change
E01000171,26.487,31.273413919270993,1.0,0,4.786413919270995,18.070804240838886
E01000172,24.854,19.551322664422308,1.0,0,-5.302677335577691,-21.33530753833464
E01000173,19.649,17.95746968548451,1.0,0,-1.6915303145154894,-8.608734869537836
E01000174,30.198,27.399331419575418,1.0,0,-2.7986685804245823,-9.267728261555675
E01000175,22.205,16.37193713162748,1.0,0,-5.833062868372519,-26.269141492332892
E01000176,44.215,36.25783661352096,1.0,0,-7.957163386479046,-17.99652467822921
E01000177,22.96,22.815723270724597,1.0,0,-0.14427672927540414,-0.6283829672273699
E01000178,22.904,22.96469733003716,1.0,0,0.06069733003716138,0.26500755342805354
E01000179,24.92,25.079576612165987,1.0,0,0.15957661216598495,0.6403555865408705
E01000180,29.565,23.372943761207914,1.0,0,-6.192056238792087,-20.943873630279338
E01000181,20.819,18.732200067657445,1.0,0,-2.0867999323425543,-10.023535867921392
E01000182,22.913,18.954569834041102,1.0,0,-3.958430165958898,-17.275913961327188
E01000183,30.174,21.734449363760984,1.0,0,-8.439550636239016,-27.969611706233895
E01000184,43.284,37.54330221562655,1.0,0,-5.740697784373452,-13.262863377630193
E01000185,32.704,30.934653390524986,1.0,0,-1.769346609475015,-5.410184104314503
E01000186,19.417,22.304150484713453,1.0,0,2.8871504847134517,14.869189291411915
E01000187,27.997,32.80983241701071,1.0,0,4.812832417010711,17.190529046007466
E01000188,21.076,26.695090719253276,1.0,0,5.6190907192532755,26.661087109761223
E01000189,38.504,38.146973571272405,1.0,0,-0.35702642872759327,-0.9272450361718089
E01000190,25.601,27.326316241953908,1.0,0,1.7253162419539088,6.73925331804972
E01000191,22.059,28.930172522160944,1.0,0,6.871172522160943,31.149066241266347
E01000192,27.087,38.21746438394205,1.0,0,11.130464383942051,41.09153610197531
E01000193,28.912,33.69574006722752,1.0,0,4.783740067227519,16.545863541877143
E01000194,33.467,35.58111916038867,1.0,0,2.114119160388668,6.317026206079626
E01000195,47.051,44.30530795094285,1.0,0,-2.745692049057155,-5.835565767055226
E01000196,29.058,33.0836969344514,1.0,0,4.025696934451403,13.85400555596188
E01000197,26.823,29.97453004231838,1.0,0,3.151530042318381,11.749357052970888
E01000198,36.202,35.733970361190906,1.0,0,-0.4680296388090923,-1.2928281277528655
E01000199,27.064,23.392828174088145,1.0,0,-3.6711718259118555,-13.564779138013064
E01000200,23.179,24.742170113670227,1.0,0,1.5631701136702283,6.7439066123224825
E01000201,20.134,21.666428134747274,1.0,0,1.5324281347472741,7.611145995566078
E01000202,25.128,26.110171130854365,1.0,0,0.9821711308543648,3.9086721221520406
E01000203,36.786,30.81633488358695,1.0,0,-5.969665116413051,-16.228089807027267
E01000204,23.008,24.63711653080965,1.0,0,1.6291165308096502,7.0806525156886755
E01000205,22.867,22.560028461566606,1.0,0,-0.30697153843339464,-1.3424215613477704
E01000206,38.568,25.596594179306692,1.0,0,-12.971405820693306,-33.632560207149204
E01000207,22.612,22.946976509021738,1.0,0,0.3349765090217396,1.4814103530061011
E01000208,26.632,22.566551365326095,1.0,0,-4.065448634673906,-15.26527724043972
E01000209,23.561,18.180484025521388,1.0,0,-5.380515974478612,-22.836534843506694
E01000210,19.894,25.56627474969621,1.0,0,5.672274749696211,28.512489945190566
