LSOA11CD,CYP_2019,CYP_2025_pred,confidence,boundary_changed,change,pct_change
E01000061,0.267,0.3598036814770702,1.0,0,0.09280368147707019,34.75793313747947
E01000062,0.444,0.11295520968423045,1.0,0,-0.33104479031576955,-74.55963745850666
E01000063,0.661,0.5131967280120273,1.0,0,-0.14780327198797272,-22.3605555201169
E01000064,-0.184,-0.039061422343956986,1.0,0,0.144938577656043,-78.77096611741467
E01000065,0.076,-0.01960634408671868,1.0,0,-0.09560634408671867,-125.79782116673509
E01000066,-0.527,-0.42184749690794365,1.0,0,0.10515250309205637,-19.953036639858894
E01000067,-0.715,-0.5476462912106728,1.0,0,0.1673537087893272,-23.406113117388422
E01000068,-0.472,-0.4669709570568087,1.0,0,0.005029042943191286,-1.0654751998286625
E01000069,-0.699,-0.7273412296159879,1.0,0,-0.02834122961598795,4.054539286979678
E01000070,-0.699,-0.5565403713828851,1.0,0,0.1424596286171148,-20.38049050316378
E01000071,-0.558,-0.5952327220401696,1.0,0,-0.037232722040169586,6.67253083157161
E01000072,0.315,0.15943274768282745,1.0,0,-0.15556725231717256,-49.3864293070389
E01000073,0.367,0.273474074396873,1.0,0,-0.093525925603127,-25.483903434094554
E01000074,0.418,0.2635439221334668,1.0,0,-0.1544560778665332,-36.95121480060603
E01000075,0.472,0.2301633202711296,1.0,0,-0.24183667972887038,-51.236584688319994
E01000076,0.181,0.05992323511278053,1.0,0,-0.12107676488721947,-66.89324026918203
E01000077,0.058,0.05897357551117177,1.0,0,0.0009735755111717689,1.6785784675375326
E01000078,0.359,0.27155107589066163,1.0,0,-0.08744892410933836,-24.359031785331023
E01000079,-0.246,-0.05269383639445603,1.0,0,0.19330616360554398,-78.57974130306665
E01000080,-0.177,-0.05857668894800042,1.0,0,0.11842331105199957,-66.9058254531071
E01000081,0.104,0.03368943380529471,1.0,0,-0.07031056619470528,-67.60631364875509
E01000082,0.174,0.2448307460077838,1.0,0,0.0708307460077838,40.70732529182977
E01000083,0.064,0.0031893113009468384,1.0,0,-0.060810688699053164,-95.01670109227058
E01000084,0.545,0.24007321879517693,1.0,0,-0.3049267812048231,-55.94986811097671
E01000085,0.347,0.15697640402028556,1.0,0,-0.1900235959797144,-54.76184322181972
E01000086,0.144,0.0008906236184192014,1.0,0,-0.14310937638158078,-99.38151137609778
E01000087,-0.19,-0.10112467979814013,1.0,0,0.08887532020185987,-46.77648431676835
E01000088,-0.311,-0.12970938252977277,1.0,0,0.18129061747022723,-58.292803045089144
E01000089,-0.1,-0.113156885351702,1.0,0,-0.013156885351701994,13.156885351701995
E01000090,-0.161,-0.2213327524429928,1.0,0,-0.0603327524429928,37.473759281361986
E01000091,0.119,-0.11083932874755362,1.0,0,-0.2298393287475536,-193.14229306517112
E01000092,-0.083,-0.12439882879138778,0.75,1,-0.04139882879138777,49.87810697757563
E01000093,0.263,-0.007223281371987654,1.0,0,-0.27022328137198764,-102.74649481824625
E01000094,-0.239,-0.43706666757888046,1.0,0,-0.19806666757888047,82.87308266898764
E01000095,0.161,-0.10828748279094172,1.0,0,-0.2692874827909417,-167.25930608133027
E01000096,0.444,-0.08037952130888937,1.0,0,-0.5243795213088893,-118.10349579029038
E01000097,0.264,0.09533206923372012,1.0,0,-0.1686679307662799,-63.889367714499954
E01000098,0.091,-0.11407658937930293,1.0,0,-0.20507658937930293,-225.3588894278054
E01000099,-0.218,-0.07405828300592886,1.0,0,0.14394171699407116,-66.02831054773907
