LSOA11CD,IMD_2019,IMD_2025_pred,confidence,boundary_changed,change,pct_change
E01000060,36.154,34.18195954653936,1.0,0,-1.972040453460643,-5.454556766777238
E01000061,46.283,52.751779072079415,1.0,0,6.468779072079414,13.976576868568188
E01000062,26.669,27.946927217059713,1.0,0,1.2779272170597125,4.7918077807931025
E01000063,33.371,31.401356601245183,1.0,0,-1.969643398754819,-5.902260641739291
E01000064,35.283,32.83836137836036,1.0,0,-2.4446386216396405,-6.928658622111613
E01000065,39.89,36.79707975319418,1.0,0,-3.092920246805818,-7.753623080485881
E01000066,25.763,26.70178036250863,1.0,0,0.9387803625086271,3.6439093370672166
E01000067,20.973,23.889707085551773,1.0,0,2.9167070855517743,13.906961739149262
E01000068,25.603,24.001823252373327,1.0,0,-1.601176747626674,-6.25386379575313
E01000069,16.375,16.432056238323337,1.0,0,0.05705623832333728,0.34843504319595286
E01000070,21.038,21.76855168385242,1.0,0,0.7305516838524184,3.472533909365997
E01000071,18.848,22.656110231243826,1.0,0,3.808110231243827,20.204319987499083
E01000072,41.016,39.6922712053184,1.0,0,-1.3237287946815997,-3.227347363666861
E01000073,38.757,33.65467258288013,1.0,0,-5.1023274171198665,-13.164918381504933
E01000074,35.044,33.09732949427799,1.0,0,-1.946670505722004,-5.554932387061991
E01000075,36.999,31.673179240057273,1.0,0,-5.325820759942729,-14.394499202526363
E01000076,36.246,34.8490547310221,1.0,0,-1.3969452689779018,-3.854067397720857
E01000077,41.032,36.873673745927974,1.0,0,-4.158326254072023,-10.134349420140435
E01000078,35.033,34.50642834758073,1.0,0,-0.5265716524192712,-1.5030732521316221
E01000079,34.522,31.605762170737478,1.0,0,-2.9162378292625206,-8.447476476630904
E01000080,33.185,31.916063034971447,1.0,0,-1.268936965028555,-3.8238269249014762
E01000081,30.608,29.06065280427198,1.0,0,-1.547347195728019,-5.055368517145906
E01000082,27.895,30.607622201267617,1.0,0,2.7126222012676173,9.724402944139156
E01000083,34.377,33.52402002493248,1.0,0,-0.8529799750675195,-2.4812519273570106
E01000084,39.815,36.33884340452994,1.0,0,-3.4761565954700586,-8.730771305965236
E01000085,35.154,37.25192026763907,1.0,0,2.0979202676390685,5.967799589347068
E01000086,38.156,33.61076748639851,1.0,0,-4.545232513601491,-11.91223533284802
E01000087,34.357,33.81838937188088,1.0,0,-0.5386106281191161,-1.5676881803391336
E01000088,28.849,30.12230140410041,1.0,0,1.2733014041004083,4.413676051511
E01000089,28.968,30.955804171475698,1.0,0,1.9878041714756982,6.862069081316275
E01000090,28.317,29.246889783377128,1.0,0,0.9298897833771278,3.2838569883007658
E01000091,42.183,42.174079842211356,1.0,0,-0.00892015778864419,-0.021146333330119216
E01000092,33.768,34.77679560252372,0.75,1,1.008795602523719,2.9874307110984333
E01000093,46.922,44.404822462851094,1.0,0,-2.5171775371489034,-5.3645998404776085
E01000094,28.182,26.992598550203756,1.0,0,-1.189401449796243,-4.220429528763903
E01000095,32.254,29.846851930610285,1.0,0,-2.407148069389713,-7.46309936562818
E01000096,40.926,39.26817926584451,1.0,0,-1.657820734155493,-4.050776362594665
E01000097,38.009,34.112034144491176,1.0,0,-3.8969658555088245,-10.252745022254793
E01000098,39.405,36.53552257958293,1.0,0,-2.86947742041707,-7.282013501883187
E01000099,29.266,27.6222867890706,1.0,0,-1.6437132109293984,-5.61646009338276
E01000100,31.83,29.709550019219996,1.0,0,-2.120449980780002,-6.6617969864279045
E01000101,40.463,35.61385731757708,1.0,0,-4.849142682422922,-11.9841402822898
E01000102,42.631,34.98028291601408,1.0,0,-7.650717083985917,-17.946370209438946
E01000103,32.894,30.789579758358464,1.0,0,-2.1044202416415345,-6.3975808404010905
E01000104,34.672,36.337920343004065,1.0,0,1.6659203430040677,4.804800250934667
E01000105,44.149,42.348532375420945,1.0,0,-1.8004676245790563,-4.078161735439209
E01000106,43.523,43.16057951848861,1.0,0,-0.3624204815113927,-0.8327102486303626
E01000107,28.332,26.52676664012574,1.0,0,-1.8052333598742614,-6.371711703636388
E01000108,28.166,30.093555026221217,1.0,0,1.927555026221217,6.843552603213864
E01000109,25.691,26.222946371882127,0.75,1,0.5319463718821282,2.070555337986564
E01000110,17.741,17.59893628471825,1.0,0,-0.14206371528175055,-0.8007649810143203
E01000111,28.903,29.464344374073036,1.0,0,0.5613443740730375,1.9421664674014376
E01000112,24.743,26.635297194842188,1.0,0,1.8922971948421896,7.6478082481598415
E01000113,25.268,26.859717811829384,1.0,0,1.5917178118293833,6.299342297884214
E01000114,23.288,26.08057783721822,1.0,0,2.7925778372182215,11.991488479982056
E01000115,6.227,4.888138576609649,1.0,0,-1.3388614233903517,-21.50090610872574
E01000116,7.79,7.991381397044867,1.0,0,0.2013813970448668,2.5851270480727444
E01000117,9.642,11.167674012374945,1.0,0,1.525674012374946,15.823211080428813
E01000118,9.812,11.555253582268488,1.0,0,1.7432535822684887,17.766546904489285
E01000119,11.589,9.845450887503477,1.0,0,-1.743549112496524,-15.044862477319215
E01000120,5.902,5.373431742725462,1.0,0,-0.5285682572745385,-8.955748174763444
E01000121,36.203,32.3819768381894,1.0,0,-3.8210231618106008,-10.554437924510678
E01000122,10.152,9.402705828880384,1.0,0,-0.7492941711196153,-7.380754246647117
E01000123,11.048,14.33151270501396,1.0,0,3.28351270501396,29.720426366889573
E01000124,23.589,25.14449328964623,1.0,0,1.5554932896462326,6.594146804214815
E01000125,26.704,33.86005597511953,0.75,1,7.1560559751195285,26.7976931363074
E01000126,33.625,36.35800948969568,1.0,0,2.7330094896956822,8.127909263035487
E01000127,27.543,29.645243842928345,1.0,0,2.1022438429283454,7.632588472310008
