LSOA11CD,Crime_2019,Crime_2025_pred,confidence,boundary_changed,change,pct_change
E01000146,0.638,0.8251075682242119,1.0,0,0.18710756822421193,29.327205050816914
E01000147,0.336,-0.24274641946980421,1.0,0,-0.5787464194698042,-172.24595817553694
E01000148,0.009,0.31889293555298687,0.75,1,0.30989293555298686,3443.2548394776322
E01000150,-0.033,0.014338604146576981,1.0,0,0.04733860414657698,-143.4503155956878
E01000151,0.085,0.5519575953766362,1.0,0,0.4669575953766362,549.3618769136896
E01000152,0.049,0.11508239620469915,1.0,0,0.06608239620469915,134.8620330708146
E01000153,0.872,0.6382478828810951,1.0,0,-0.23375211711890487,-26.806435449415694
E01000154,0.827,0.4732637990452454,1.0,0,-0.35373620095475455,-42.77342212270309
E01000155,-0.128,0.1786080617346446,0.75,1,0.3066080617346446,-239.5375482301911
E01000156,-0.158,-0.3280306143227021,1.0,0,-0.17003061432270208,107.61431286246967
E01000157,-0.281,-0.34094207035515467,1.0,0,-0.05994207035515464,21.331697635286346
E01000158,0.561,0.18537738005573473,1.0,0,-0.3756226199442653,-66.95590373338062
E01000159,0.561,0.0942475520000394,1.0,0,-0.46675244799996063,-83.20007985739048
E01000160,0.463,0.28511372793507317,1.0,0,-0.17788627206492685,-38.42036113713323
E01000161,0.612,0.12660548749311554,1.0,0,-0.4853945125068845,-79.3128288409942
E01000162,0.481,0.13323744658358022,1.0,0,-0.34776255341641976,-72.29990715518083
E01000163,0.26,0.4898182685018996,1.0,0,0.22981826850189957,88.39164173149983
E01000164,0.841,0.4825755562044347,1.0,0,-0.35842444379556526,-42.61883992812904
E01000165,0.198,-0.12448525462733226,1.0,0,-0.32248525462733224,-162.87134072087488
E01000166,0.276,-0.06018811449730894,1.0,0,-0.33618811449730895,-121.80728786134382
E01000167,0.516,0.33093207352411746,1.0,0,-0.18506792647588255,-35.865877224008244
E01000168,-0.095,-0.8342231469748609,1.0,0,-0.7392231469748609,778.1296283945903
E01000169,0.466,-0.04837818295689032,1.0,0,-0.5143781829568903,-110.38158432551293
E01000170,0.536,0.27934454825728705,1.0,0,-0.256655451742713,-47.88347980274496
E01000171,0.288,0.4338262796540273,1.0,0,0.14582627965402734,50.63412487987061
E01000172,-0.743,-0.7368931673321842,1.0,0,0.006106832667815754,-0.8219155676737219
E01000173,-0.085,-0.643698290508464,1.0,0,-0.5586982905084641,657.292106480546
E01000174,-0.248,0.005740644966994661,1.0,0,0.25374064496699467,-102.31477619636883
E01000175,0.185,-0.4801471582971122,1.0,0,-0.6651471582971122,-359.5390044849255
E01000176,0.377,0.346256150824796,1.0,0,-0.030743849175204008,-8.154867155226528
E01000177,0.031,-0.33949218619940147,1.0,0,-0.3704921861994015,-1195.1360845141983
E01000178,-0.15,-0.4075412061181346,1.0,0,-0.2575412061181346,171.69413741208973
E01000179,-0.087,-0.47594315022491995,1.0,0,-0.38894315022492,447.0610922125518
E01000180,-0.257,-0.2369724943810779,1.0,0,0.02002750561892211,-7.792803742771248
E01000181,0.07,-0.23351873145672147,1.0,0,-0.3035187314567215,-433.59818779531633
E01000182,-0.177,-0.35361145393601334,1.0,0,-0.17661145393601335,99.78048244972506
E01000183,-0.504,-0.6081559435044117,1.0,0,-0.10415594350441171,20.665861806430897
E01000184,0.303,0.24707752738590028,1.0,0,-0.055922472614099716,-18.45626158881179
E01000185,-0.438,0.1506433854231518,1.0,0,0.5886433854231519,-134.3934669915872
E01000186,-0.699,-1.2084698560535094,1.0,0,-0.5094698560535095,72.88553019363512
E01000187,-0.561,-0.4376767608705391,1.0,0,0.12332323912946097,-21.982752072987694
E01000188,0.509,-0.19237316737793062,1.0,0,-0.7013731673779307,-137.79433543770742
E01000189,-0.444,0.26689238080942285,1.0,0,0.7108923808094229,-160.11089657869883
E01000190,-0.437,-0.546398759703023,1.0,0,-0.10939875970302299,25.03404112197322
E01000191,-0.547,-0.8415874115859405,1.0,0,-0.2945874115859405,53.8551026665339
E01000192,0.535,0.3249306668452011,1.0,0,-0.21006933315479892,-39.265295916784844
E01000193,0.546,0.3151429290627349,1.0,0,-0.23085707093726515,-42.28151482367493
E01000194,0.884,0.44065047173830696,1.0,0,-0.44334952826169305,-50.15266156806483
E01000195,0.143,0.40451059620391333,1.0,0,0.26151059620391337,182.87454279993943
E01000196,-0.675,-0.143977836805683,1.0,0,0.531022163194317,-78.66995010286178
E01000197,0.035,-0.056078837944326214,1.0,0,-0.09107883794432622,-260.2252512695035
E01000198,-0.606,-0.482131775651423,1.0,0,0.12386822434857697,-20.44030104761996
E01000199,-0.138,-0.5913050594548367,1.0,0,-0.4533050594548367,328.48192714118596
E01000200,0.008,-0.35623844526628373,1.0,0,-0.36423844526628374,-4552.980565828547
